ticker,price,pct_from_hi,pct_above_lo,ret_1y,rs_vs_spy,vol_ratio,all_pass,atr_ratio,range5_pct,ret_6m,ret_15d,contracting_pbs,vol_dry_up,atr_compression,tight_range,hh_hl_count,hh_hl_pct,hh_hl_orderly,candle_quality,abr21_pct,candle_orderly,atr50ma_ext,not_extended_50ma,ret_5d,compression_1w,tightness_score,support_score,avg_close_in_range,close_in_upper_range,up_down_vol_ratio,accumulation_support,distribution_days,quiet_pullback_weeks,quiet_pullback,recent_expansion,post_expansion_tight,base_length,base_depth_pct,base_tightness_pct,base_close_position,pivot_age,breakout_ready,leadership_score,entry_score,sepa_vcp_score,power_play_score,pct_to_pivot,pivot,ret_1m,ret_3m,qm_momentum,qm_ema_ride,adr_pct,qm_adr_pct,qm_consolidation,qm_score,qm_continuation_score,sepa_vcp_qualifies,power_play_qualifies,qm_continuation_qualifies,qualified_count,also_fits,primary_setup,primary_setup_score,setup_score,primary_setup_valid,best_family_excess,best_family_pct,adv_usd,rs_pct_rank,rs_top_20,market_regime,regime_score,regime_eligible
A,121.87000274658203,-22.158781856615295,22.551689036888224,19.640051011485383,-17.003556597522127,2.1183315426709997,False,0.933727505613194,5.957169092157161,-13.276831894656215,7.638420238448451,False,False,False,True,21,35.0,False,0.4288103040594201,1.1944899745911195,False,1.1412758205032687,True,5.918655773063364,False,1,0,0.5587181102544239,False,0.892536245200352,False,3,3,True,False,False,45.0,14.806197728396707,7.409533581511411,0.6412609039414181,44.0,False,1,3,2,5,-5.31156198914966,128.7063186453841,9.54984882304728,-12.526437162543191,False,True,2.5360955628951096,False,True,2,3,False,False,False,0,,none,0,0,False,-1,0.625,225773459.96059418,38.47222222222222,False,risk_on,7,False
AA,65.62000274658203,-10.489694541137329,184.78856441275764,164.6818020326868,128.03819442367927,1.7562804017076212,True,1.0053773412290146,17.433712225807746,77.49698958970713,13.923618897427946,False,False,False,False,24,40.0,True,0.3534838193455503,1.567701064749307,False,0.5094656882174563,True,-10.146509867963315,False,0,1,0.40889315239611357,False,1.528081344829891,True,3,0,False,True,False,25.0,27.264196771869,19.308134164327292,0.5116044336183591,6.0,False,8,2,2,2,-13.315712824337467,75.69999694824219,2.164096710261787,9.41813630246262,False,False,4.362203749178059,False,False,0,1,False,False,False,0,,none,0,0,False,-4,0.25,401115544.6173668,88.88888888888889,True,risk_on,7,False
AAL,12.779999732971191,-21.40221677075559,40.90408117945228,35.66878587541531,-0.9748217335922007,1.4236264401616914,False,0.9441051956053472,19.561815745193144,7.485276399914054,19.327728174148227,False,False,False,False,21,35.0,False,0.4111761753126098,1.7757794363840476,False,1.1686367159176116,True,12.89752718645849,False,0,0,0.4739893742596773,False,0.8653331951262937,False,4,1,False,False,False,35.0,24.92559175883449,22.378714526094374,0.8029850865238963,34.0,False,1,1,1,2,-4.910713303707459,13.4399995803833,18.333328771002577,-16.85100957626767,False,False,3.9353428236710557,False,False,0,1,False,False,False,0,,none,0,0,False,-4,0.25,647935857.8244066,50.27777777777778,False,risk_on,7,False
AAOI,159.4199981689453,0.0,1486.2686083918215,1428.4754890163788,1391.8318814073714,0.6574539854446243,True,1.25105315640983,16.54120902023967,411.9460542505332,63.64196383218965,False,True,False,False,31,51.66666666666667,True,0.5361521036520684,7.6173731108782405,True,4.387109479920685,False,5.856568199185341,False,0,3,0.6763138184924775,True,1.485258394584635,True,2,1,False,False,False,,,,,,False,12,3,4,5,,,72.1040730820737,330.39955245280703,True,False,12.686018200536465,True,False,2,3,False,False,False,0,,none,0,0,False,-1,0.625,1548759147.7545166,99.375,True,risk_on,7,False
AAON,93.9800033569336,-11.655459255242462,31.3935259540717,17.371722328002882,-19.27188528100463,2.888708192490945,False,0.9978285540603363,11.598213594950604,-5.848649114683657,12.685853282354831,True,False,False,False,23,38.333333333333336,False,0.380951490965055,2.0128921381798666,False,0.5668895524768907,True,0.8693841407182434,True,1,3,0.6076521795289302,True,1.3048320767649075,True,2,2,True,False,False,25.0,21.76746550305067,20.451160389626786,0.801683961860173,0.0,False,2,5,4,5,-4.316837518910366,98.22000122070312,19.64353877237752,0.01951973177745092,False,True,4.93767781239961,False,True,2,4,False,False,False,0,,none,0,0,False,-1,0.6666666666666666,70238998.07098389,36.94444444444444,False,risk_on,7,False
AAP,57.4900016784668,-12.21342168381624,89.84450626053224,89.84450626053224,53.20089865152473,1.024619325458944,False,0.8522792358891302,7.044701893925143,8.433895917797042,11.370060839239793,True,False,False,True,30,50.0,True,0.42779240949987163,1.8826790595612277,False,1.8716577828087584,True,5.312331045563168,False,1,2,0.623259567258863,True,1.202552737155429,True,6,0,False,False,False,45.0,28.619624658435605,13.559596699010381,0.6005026203118489,43.0,False,4,4,4,3,-11.433465058703419,64.91165282301284,16.988203260870584,33.669846722779525,False,True,3.892024144644981,False,False,1,3,False,False,False,0,,none,0,0,False,-2,0.5,72361031.36739731,77.91666666666667,False,risk_on,7,False
AAPL,270.2300109863281,-5.488356574431263,40.50930335533931,39.706478874572724,3.0628712655652137,1.4305400711761043,False,1.0399989573497437,5.787656253934969,9.414048519485906,6.856740732543765,False,False,False,True,27,45.0,True,0.37960889759530514,0.8798257055446861,False,1.5304891518812442,True,3.7430895227164918,True,2,2,0.6279141269158428,True,1.5506944093659754,True,4,1,False,False,False,35.0,10.006965762277225,9.8434628883882,0.9054950079172426,34.0,True,3,5,4,6,-0.945708220136432,272.80999755859375,8.117951647087175,5.8517070265610815,False,True,2.10737103574118,False,True,2,4,False,True,False,1,,power_play,6,6,True,0,0.75,11317339131.771774,53.81944444444444,False,risk_on,7,False
ABBV,208.3800048828125,-12.70721134967998,26.45076700707516,25.331222024182477,-11.312385584825034,1.235699829533025,False,0.9527253632527791,5.283784260573933,-6.642908780175172,-0.47898578929391755,False,False,False,True,26,43.333333333333336,True,0.42277916692542333,1.1103486989027376,False,-1.6855212809717648,True,1.0429708858689768,True,2,1,0.6305461653491252,True,0.9283825877548884,False,5,2,True,False,False,25.0,11.792490781782336,5.926303774082756,0.31338087846450186,24.0,False,2,3,2,5,-8.096949661302844,226.7389429565767,0.8489798860208841,-1.9786592937440672,False,False,2.3867835703514646,False,True,1,2,False,False,False,0,,none,0,0,False,-1,0.625,1525709721.640854,42.986111111111114,False,risk_on,7,False
ABNB,141.5500030517578,-0.42909439690325124,26.90514783029092,25.665841458417304,-10.977766150590206,1.1720700416088765,False,0.9798747707298812,12.67396824770571,15.184314227998264,8.003971988839865,False,False,False,False,24,40.0,True,0.4375289353015147,1.406896798494893,False,2.743444602893981,True,9.762713773600339,False,0,1,0.6319949272740157,True,1.1255696418610182,False,4,2,True,False,False,45.0,19.37892790025331,14.051571148589556,0.9369823647547852,0.0,True,5,4,3,4,-1.2212142098614764,143.3000030517578,7.946311127081396,8.334608207887628,False,True,3.1977291324297483,False,True,2,3,False,False,False,0,,none,0,0,False,-2,0.5,453128660.4416275,43.19444444444444,False,risk_on,7,False
ABT,96.80999755859375,-28.45621563788755,1.4035784233341397,-23.833719054379586,-60.477326663387096,1.243532783872277,False,1.097595055823122,8.842067352400647,-23.28541659462188,-6.840058037932872,False,False,False,False,23,38.333333333333336,False,0.37790577545140874,0.9138040188840143,False,-4.222125840663234,True,-2.8740347933646437,True,1,0,0.5288209170484147,False,0.5269811277957918,False,7,2,True,False,False,25.0,15.511159258538457,9.578150612421354,0.1676080100708486,22.0,False,0,2,2,4,-12.911364721322805,111.16260720909096,-10.206147383271203,-19.992322741457226,False,False,2.198896246032514,False,True,1,2,False,False,False,0,,none,0,0,False,-2,0.5,1473562292.2995758,8.680555555555555,False,risk_on,7,False
