ticker,price,pct_from_hi,pct_above_lo,ret_1y,rs_vs_spy,vol_ratio,all_pass,atr_ratio,range5_pct,ret_6m,ret_15d,contracting_pbs,vol_dry_up,atr_compression,tight_range,hh_hl_count,hh_hl_pct,hh_hl_orderly,candle_quality,abr21_pct,candle_orderly,atr50ma_ext,not_extended_50ma,ret_5d,compression_1w,tightness_score,support_score,avg_close_in_range,close_in_upper_range,up_down_vol_ratio,accumulation_support,distribution_days,quiet_pullback_weeks,quiet_pullback,recent_expansion,post_expansion_tight,base_length,base_depth_pct,base_tightness_pct,base_close_position,pivot_age,breakout_ready,leadership_score,entry_score,sepa_vcp_score,power_play_score,pct_to_pivot,pivot,adv_usd,rs_pct_rank,rs_top_20,qm_breakout_vendor_score,qm_breakout_score,qm_breakout_entry_price,qm_breakout_stop_price,qm_breakout_stop_loss_pct,qm_episodic_pivot_vendor_score,qm_episodic_pivot_score,qm_episodic_pivot_entry_price,qm_episodic_pivot_stop_price,qm_episodic_pivot_stop_loss_pct,sepa_vcp_qualifies,power_play_qualifies,qm_breakout_qualifies,qm_episodic_pivot_qualifies,qualified_count,also_fits,primary_setup,primary_setup_score,setup_score,primary_setup_valid,best_family_excess,best_family_pct,market_regime,regime_score,regime_eligible
A,162.66000366210938,0.0,48.17193309854897,29.80151061681948,12.010447838125636,0.427054926191595,False,1.0585406155649502,9.768842390202105,45.81747957203872,5.733234226583495,False,True,False,False,28,46.666666666666664,True,0.4668076751806285,1.3216544109236534,True,3.8121463746475177,True,10.803814905071718,False,0,3,0.6951108743665159,True,1.4699367007102597,True,2,2,True,False,False,35.0,16.543509213979007,13.303823252457814,0.9597638802052529,16.0,True,7,7,5,6,-0.665646618559157,163.75,380375300.5980698,67.10801393728222,False,0.0,0,,,,0.0,0,,,,False,True,False,False,1,,power_play,6,6,True,0,0.75,risk_on,6,True
AA,44.72999954223633,-46.512943641195704,44.35873037408036,38.888571711492915,21.09750893279907,0.39838894188609864,False,0.9163233904782069,7.847087351110181,-19.95627723713097,-11.108903391274982,False,True,False,True,22,36.666666666666664,False,0.507906197701976,2.019686544447658,True,-1.83078639917867,True,-4.728437027961685,True,2,0,0.29078194703148064,False,0.37600330059141734,False,6,3,True,False,False,25.0,17.547807618252218,20.545492333464754,0.08012819990316539,20.0,False,1,2,3,4,-16.141733381554612,53.34000015258789,181610359.70674342,74.28571428571429,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,6,False
AAL,13.472299575805664,-25.772452567706416,32.340856305829305,8.21124323054001,-9.579819548153836,0.7951697991672897,False,0.7770360350220594,7.051504488299839,24.628113347319957,-1.229477736774287,False,True,False,True,17,28.333333333333332,False,0.45670628134040214,1.307217240116616,True,-2.0993902383071656,True,2.8419784999591524,True,2,0,0.4400104758944606,False,0.40029929460049263,False,6,2,True,False,False,25.0,15.030468505245661,7.051504488299839,0.4154501234836258,24.0,False,1,2,3,5,-8.786058508724604,14.770000457763672,894336606.5512501,46.13240418118467,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-1,0.625,risk_on,6,False
AAOI,107.11000061035156,-51.9901399910075,449.56388849770894,269.47223682651395,251.6811740478201,0.7682802433343683,False,0.5373185909129208,14.685555122321754,11.85254617890914,0.8283886149011765,False,True,True,False,23,38.333333333333336,False,0.35205485211651877,2.0337855194910293,False,-0.8172417923152213,True,11.85254617890914,False,1,0,0.30379719681467343,False,0.6524236284150233,False,5,3,True,False,False,,,,,,False,4,2,3,4,,,721052874.4677055,98.04878048780488,True,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,6,False
AAON,76.54499816894531,-48.26531186826419,4.4948517602751314,-16.038742211250444,-33.82980498994429,0.3316762303140809,False,0.6629631336044364,7.054675883537631,-4.4754340181657355,1.0192233338166323,False,True,False,True,14,23.333333333333332,False,0.46800901323780475,2.0594591715360417,True,-3.582691751301239,True,1.3304173169680134,True,2,0,0.4007503003602336,False,0.7997379443050604,False,3,2,True,False,False,25.0,16.83638071418431,9.445418904552678,0.211242217285509,24.0,False,0,2,3,4,-13.279826321057032,88.26665690538354,83680551.06450729,21.951219512195124,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,6,False
AAP,42.130001068115234,-32.84294776665539,10.3551819225822,-26.786805017949757,-44.5778677966436,0.46243597300840056,False,0.626150486949793,9.4232165204185,-16.219210022385543,-1.794872798079461,False,True,True,False,20,33.33333333333333,False,0.4324914927544736,1.6330804475796872,False,-5.061576117311197,True,-6.398572230206357,False,1,1,0.43845567570566235,False,1.6157785719020916,True,4,1,False,False,False,25.0,31.410255255247527,10.111564273029456,0.07894743850849016,23.0,False,0,2,3,4,-28.930496059947895,59.279998779296875,72186765.59944192,14.21602787456446,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,6,False
AAPL,339.0199890136719,-0.2257112315295573,38.73377319159162,38.60380553233329,20.812742753639444,0.43401352485882855,True,0.9690791199668687,3.2181004116749587,35.04512350834585,6.043157982155289,False,True,False,True,35,58.333333333333336,True,0.41776852513137747,0.9678946337852415,False,2.455140508595386,True,1.7833561549389199,True,2,1,0.6449780355297637,True,0.9213707135447955,False,4,0,False,False,False,65.0,20.553154655231253,8.660260993624362,0.9257605429059199,37.0,True,8,4,6,6,-1.5258550431750284,344.2730974331505,13655416436.247547,73.93728222996516,False,0.0,0,,,,0.0,0,,,,True,True,False,False,2,power_play,sepa_vcp,6,6,True,0,0.75,risk_on,6,True
ABBV,265.8949890136719,-0.02820325852049832,35.67108068670424,23.227322691253917,5.436259912560072,0.3367964267935046,True,0.9491717202249539,3.3095037706963066,31.756795941462546,4.07663749033409,False,True,False,True,24,40.0,True,0.41476847780645787,0.826658967544829,False,1.8613903340137048,True,1.5758108924337266,True,2,2,0.6224311910266479,True,1.5453913980872354,True,3,1,False,False,False,65.0,20.047911883018806,7.457751754392106,0.9706275820275114,37.0,True,7,5,7,7,-0.5888556473036544,267.4700012207031,1074948223.1485915,62.09059233449478,False,0.0,0,,,,0.0,0,,,,True,True,False,False,2,power_play,sepa_vcp,7,7,True,1,0.875,risk_on,6,True
ABCL,12.670000076293945,-0.47132339434351467,355.7554031182234,180.93125129253528,163.14018851384142,0.6340774241819425,True,0.8938807794685469,17.995269715202895,275.9644067225835,11.629952867484317,False,True,False,False,26,43.333333333333336,True,0.4204538694489859,2.7688533185697497,False,5.433038800441196,False,13.428827124034171,False,0,1,0.5581147196438995,False,1.5253139711111183,True,3,2,True,False,False,25.0,21.699548893245787,22.573011784764965,0.8216782797052814,2.0,False,12,2,3,4,-3.8695008882629445,13.180000305175781,55121516.25907974,96.30662020905923,True,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,6,False
ABNB,167.44000244140625,-12.104985595062335,50.11655107320081,31.80100852859884,14.009945749904993,0.2784011200128555,True,0.8320741752551926,3.481781494581235,26.284038815948318,-11.608505033314309,False,True,False,True,29,48.333333333333336,True,0.31974322013918544,0.9582034488693233,False,0.012910646838346649,True,-1.8810381306109458,True,2,0,0.45324834470586683,False,0.9939851101535502,False,5,1,False,False,False,25.0,14.862989322720626,10.803803907430986,0.09529121447714066,19.0,False,3,1,4,4,-13.446677019397802,193.4530029296875,782044627.5479873,68.36236933797909,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,6,False
