BMY|sepa_vcp 8 · +power_play · Entry 7 · Lead 6 · Tight 2/3 · Fund 3/5 · RSpct 75 · Health Care · Earn 38d · RS +28
PARR|sepa_vcp 7 · +power_play · Entry 5 · Lead 9 · Tight 1/3 · Fund 5/5 · RSpct 93 · Energy · Earn 41d · RS +120
HNGE|power_play 7 · Entry 4 · Lead 10 · Tight 0/3 · Fund 5/5 · RSpct 83 · Health Care · Earn 41d · RS +47
CXW|sepa_vcp 7 · +power_play · Entry 4 · Lead 10 · Tight 1/3 · Fund 5/5 · RSpct 86 · Industrials · Earn 42d · RS +56
ARW|power_play 7 · +sepa_vcp · Entry 4 · Lead 6 · Tight 1/3 · Fund 5/5 · RSpct 83 · Earn 38d · RS +49
HZO|sepa_vcp 7 · +power_play · Entry 5 · Lead 8 · Tight 3/3 · Fund 3/5 · RSpct 89 · Consumer Discretionary · Earn 48d · RS +77
ACA|sepa_vcp 7 · +power_play · Entry 5 · Lead 7 · Tight 3/3 · Fund 3/5 · RSpct 76 · Industrials · Earn 38d · RS +29
CLH|power_play 7 · +sepa_vcp · Entry 5 · Lead 6 · Tight 2/3 · Fund 2/5 · RSpct 66 · Industrials · Earn 42d · RS +14
RVMD|power_play 7 · Entry 4 · Lead 10 · Tight 2/3 · Fund 1/5 · RSpct 99 · Health Care · Earn 42d · RS +398
NESR|power_play 7 · +sepa_vcp · Entry 6 · Lead 10 · Tight 2/3 · RSpct 97 · Energy · Earn 48d · RS +244
PSNL|power_play 7 · +sepa_vcp · Entry 5 · Lead 10 · Tight 2/3 · RSpct 96 · Health Care · Earn 41d · RS +208
SOLV|power_play 7 · +sepa_vcp · Entry 5 · Lead 6 · Tight 2/3 · RSpct 60 · Health Care · Earn 43d · RS +6
MRX|power_play 7 · Entry 4 · Lead 12 · Tight 0/3 · RSpct 92 · Financials · Earn 43d · RS +107
MU|sepa_vcp 6 · Entry 5 · Lead 9 · Tight 0/3 · Fund 5/5 · RSpct 99 · Technology · Earn 17d · RS +655
KRYS|power_play 6 · Entry 5 · Lead 8 · Tight 2/3 · Fund 5/5 · RSpct 93 · Health Care · Earn 40d · RS +118
DAR|power_play 6 · Entry 5 · Lead 7 · Tight 1/3 · Fund 4/5 · RSpct 90 · Consumer Staples · Earn 38d · RS +83
AVT|power_play 6 · Entry 4 · Lead 7 · Tight 2/3 · Fund 4/5 · RSpct 85 · Earn 37d · RS +55
EPD|power_play 6 · Entry 4 · Lead 6 · Tight 2/3 · Fund 4/5 · RSpct 63 · Energy · Earn 36d · RS +11
ROKU|sepa_vcp 6 · Entry 5 · Lead 6 · Tight 2/3 · Fund 3/5 · RSpct 82 · Communication Services · Earn 43d · RS +43
FTI|power_play 6 · Entry 4 · Lead 8 · Tight 1/3 · Fund 3/5 · RSpct 90 · Energy · Earn 33d · RS +86
